"area","day","SO2","CO","O3","NO2","PM10","PM2.5"
"경북","20161226",0.00389999689106981,0.708266464367084,0.0138818473508493,0.0183970752376839,42.8103177306714,28.2415088142166
"경북","20161227",0.0038901022235853,0.491864713665023,0.0250902195216207,0.0125379579031821,33.6555925314526,23.5564990779586
"경북","20161228",0.00426625963099271,0.484225824776134,0.018280044045795,0.0171624949402191,35.802182742448,22.2229401674332
"경북","20161229",0.00447823918627565,0.438862141302389,0.0245925537551545,0.0133685607669901,33.9175119079861,22.248503386926
"경북","20161230",0.00440185185185185,0.45162037037037,0.0236087768775773,0.0128578230621179,29.4788655460359,20.5401825856589
"경북","20161231",0.00477291666666667,0.603703703703704,0.0239860043081565,0.0140798611111111,42.6320107171875,26.3179102351718
"광주","20160101",0.0032363410381275,0.806481481481481,0.0128240740740741,0.0281759259259259,61.5833333333333,39.2095364116907
"광주","20160102",0.00320833333333333,0.968981481481481,0.00817592592592593,0.0383888888888889,61.5231481481481,37.0845364116907
"광주","20160103",0.00350925925925926,1.10138888888889,0.0098287037037037,0.0352962962962963,67.6851851851852,40.8484253005796
"광주","20160104",0.00420196370642986,0.875396093996713,0.0172313843878864,0.0323861009915493,80.0710023815972,48.8623643177334
"광주","20160105",0.00371608252233514,0.411943420484287,0.0161989381430409,0.0238951710177986,25.4344503984375,16.9688708633473
"광주","20160106",0.00400994904030843,0.510118316218935,0.0200415695730715,0.0227240639545122,43.8078924612847,26.0429449374214
"광주","20160107",0.00343518518518519,0.458333333333333,0.0210462962962963,0.0183657407407407,39.2546296296296,23.3113882635425
"광주","20160108",0.00290067734532843,0.446296296296296,0.0155555555555556,0.0236296296296296,27.8564814814815,20.3576845598388
"광주","20160109",0.00317868505012259,0.51712962962963,0.0153472222222222,0.025587962962963,35.162037037037,22.292869745024
"광주","20160110",0.00407683319827074,0.652314814814815,0.0206805555555556,0.023962962962963,48.2453703703704,30.8854623376166
"광주","20160111",0.00396109245753,0.516203703703704,0.0239259259259259,0.0196018518518519,39.3564814814815,24.4317586339129
"광주","20160112",0.00377196742376435,0.469827164647908,0.022485994598797,0.0194577656343036,28.8179306891204,17.9457477793316
"광주","20160113",0.00318400446080139,0.485567905388648,0.0232035871913895,0.0192494323009703,28.7199294983218,20.0521540684157
"광주","20160114",0.00303562638563685,0.495290127610871,0.0198702538580562,0.0256347763604799,32.6651529113426,20.0475495029185
"광주","20160115",0.00388701838345593,0.756481481481482,0.0115509259259259,0.0374259259259259,61.2916666666667,35.7604623376166
"광주","20160116",0.00360461097604852,0.743518518518519,0.014037037037037,0.0351296296296296,74.5192974870949,46.8947215968759
"광주","20160117",0.0030561148284456,0.623611111111111,0.0176342592592593,0.0266157407407407,56.4814814814815,38.667869745024
"광주","20160118",0.00294303379304426,0.457407407407407,0.0264537037037037,0.0172361111111111,26.6527777777778,19.3576845598388
"광주","20160119",0.00242648519881597,0.35462962962963,0.0289953703703704,0.0118657407407407,12.2638888888889,10.9826845598388
"광주","20160120",0.00265878696950574,0.431810706511945,0.0242405465535505,0.0181099757130516,24.1273810875579,18.6727249518457
"광주","20160121",0.00303112726416634,0.424430046691037,0.0233007705761737,0.02200387269759,27.2323046318866,20.8207979075965
"광주","20160122",0.00326434874292167,0.382816875197371,0.0260878852880869,0.0216292511636098,23.7878160056134,16.9826845598388
"광주","20160123",0.00347685185185185,0.368518518518519,0.0276990740740741,0.014625,22.9675925925926,16.8530549302092
"광주","20160124",0.003375,0.363425925925926,0.0273333333333333,0.0130740740740741,17.4212962962963,15.005832707987
"광주","20160125",0.00319871363889857,0.524456794277537,0.0164582168210192,0.0301568397083777,33.030114683507,21.8299819744584
"광주","20160126",0.00381376459859014,0.715184161225028,0.015597086291189,0.0338951710177986,54.5633010594908,30.0337107422945
"광주","20160127",0.00458182326307588,1.0036502085307,0.0122777001029017,0.044939436348795,76.9768518518518,46.5752771524314
"광주","20160128",0.00307407407407407,0.769444444444444,0.0143564814814815,0.0356342592592593,67.4444444444444,43.3438207350824
"광주","20160129",0.00219247452015421,0.582407407407407,0.0119675925925926,0.0322685185185185,22.9259259259259,19.5197215968759
"광주","20160130",0.00268981481481482,0.568981481481482,0.0147685185185185,0.0290925925925926,36.3287037037037,25.8067586339129
"광주","20160131",0.00289814814814815,0.445833333333333,0.0263703703703704,0.0172731481481481,36.4166666666667,19.8530549302092
"광주","20160201",0.00309791200327139,0.371216053536797,0.0308656242284266,0.0137309137824517,28.7469283075232,15.9178948091565
"광주","20160202",0.00365832711547296,0.442948565209556,0.0280044742798774,0.0203881319568492,31.1111552929398,17.6356127224113
